Well_ID,a_630
A1,0.029
B1,0.046
C1,0.043
D1,0.048
E1,0.043
F1,0.052
G1,0.035
H1,0.045
A2,0.031
B2,0.043
C2,0.044
D2,0.046
E2,0.048
F2,0.058
G2,0.035
H2,0.04
A3,0.029
B3,0.044
C3,0.041
D3,0.044
E3,0.044
F3,0.053
G3,0.041
H3,0.049
A4,0.043
B4,0.049
C4,0.07
D4,0.04
E4,0.051
F4,0.042
G4,0.043
H4,0.039
A5,0.043
B5,0.039
C5,0.046
D5,0.043
E5,0.049
F5,0.054
G5,0.051
H5,0.039
A6,0.043
B6,0.043
C6,0.058
D6,0.038
E6,0.058
F6,0.043
G6,0.056
H6,0.037
A7,0.05
B7,0.038
C7,0.055
D7,0.05
E7,0.046
F7,0.05
G7,0.052
H7,0.034
A8,0.04
B8,0.045
C8,0.042
D8,0.048
E8,0.045
F8,0.054
G8,0.058
H8,0.041
A9,0.054
B9,0.043
C9,0.047
D9,0.051
E9,0.046
F9,0.066
G9,0.048
H9,0.035
A10,0.051
B10,0.044
C10,0.044
D10,0.05
E10,0.048
F10,0.043
G10,0.041
H10,0.046
A11,0.06
B11,0.043
C11,0.049
D11,0.051
E11,0.053
F11,0.04
G11,0.04
H11,0.051
A12,0.047
B12,0.048
C12,0.042
D12,0.05
E12,0.055
F12,0.04
G12,0.04
H12,0.044
