Predictor_measurement,term,estimate,std.error,statistic,p.value,r.squared,adj.r.squared,sigma,statistic1,p.value1,df,logLik,AIC,BIC,deviance,df.residual,nobs
min_Temperature_C,(Intercept),0.4644182539086334,0.056522035747937585,8.216587526672363,1.667104535747405e-6,0.05103863468797629,-0.021958393412948585,0.21782794670930072,0.6991878438860666,0.4181616725103944,1,2.649924775459171,0.7001504490816579,2.8243010523882877,0.6168371867786694,13,15
min_Temperature_C,Predictor_scaled,-0.04393777985274688,0.05254618300300313,-0.8361745295607056,0.41816167251039404,0.05103863468797629,-0.021958393412948585,0.21782794670930072,0.6991878438860666,0.4181616725103944,1,2.649924775459171,0.7001504490816579,2.8243010523882877,0.6168371867786694,13,15
max_Temperature_C,(Intercept),0.4597387581504704,0.05783027568757656,7.949793645013423,2.395569588013336e-6,9.300368625816618e-7,-0.07692207534491713,0.22360892308686006,1.2090490458163414e-5,0.9972784429632632,1,2.25702780963521,1.4859443807295802,3.61009498403621,0.6500123562928489,13,15
max_Temperature_C,Predictor_scaled,2.088412411220379e-4,0.060061241655457814,0.003477138256982077,0.9972784429632626,9.300368625816618e-7,-0.07692207534491713,0.22360892308686006,1.2090490458163414e-5,0.9972784429632632,1,2.25702780963521,1.4859443807295802,3.61009498403621,0.6500123562928489,13,15
mean_Temperature_C,(Intercept),0.45876020264209233,0.056844667683894595,8.070417531389134,2.0313152129319565e-6,0.0312925249630394,-0.0432234346551883,0.22008257436800455,0.4199439304460728,0.528245124325224,1,2.4954653044613284,1.0090693910773432,3.133219994383973,0.6296724140258273,13,15
mean_Temperature_C,Predictor_scaled,-0.034402020084952786,0.05308701309391882,-0.6480308097969365,0.5282451243252237,0.0312925249630394,-0.0432234346551883,0.22008257436800455,0.4199439304460728,0.528245124325224,1,2.4954653044613284,1.0090693910773432,3.133219994383973,0.6296724140258273,13,15
range_Temperature_C,(Intercept),0.4649631931412382,0.05721779026276446,8.126199753712292,1.8832221384243289e-6,0.03519806539091642,-0.039017468040551506,0.2196384725526974,0.4742681722205632,0.5031357501166189,1,2.525764193000924,0.9484716139981524,3.072622217304782,0.6271337621286661,13,15
range_Temperature_C,Predictor_scaled,0.042715182092013644,0.06202549970738752,0.6886713092764664,0.5031357501166193,0.03519806539091642,-0.039017468040551506,0.2196384725526974,0.4742681722205632,0.5031357501166189,1,2.525764193000924,0.9484716139981524,3.072622217304782,0.6271337621286661,13,15
min_NN_umolL,(Intercept),0.46127251644494804,0.05764624665314152,8.001778836017424,2.2307285127653334e-6,0.0090958541998174,-0.06712754163096579,0.22258974641343635,0.11933152676653622,0.7352863428714187,1,2.3255518897500345,1.348896220499931,3.473046823806561,0.6441005377091726,13,15
min_NN_umolL,Predictor_scaled,-0.018865670840077328,0.05461282650936589,-0.3454439560428526,0.7352863428714186,0.0090958541998174,-0.06712754163096579,0.22258974641343635,0.11933152676653622,0.7352863428714187,1,2.3255518897500345,1.348896220499931,3.473046823806561,0.6441005377091726,13,15
max_NN_umolL,(Intercept),0.4537977448016915,0.05801379208032087,7.822238962993532,2.8573934896100432e-6,0.023725721453340766,-0.051372299973325264,0.2209404608937364,0.31593004719184453,0.5836257645626011,1,2.4371086514621574,1.1257826970756852,3.249933300382315,0.6345909343791767,13,15
max_NN_umolL,Predictor_scaled,-0.03492226359266262,0.06213079631349016,-0.5620765492278121,0.5836257645626006,0.023725721453340766,-0.051372299973325264,0.2209404608937364,0.31593004719184453,0.5836257645626011,1,2.4371086514621574,1.1257826970756852,3.249933300382315,0.6345909343791767,13,15
mean_NN_umolL,(Intercept),0.45547269243384336,0.05620671521655441,8.10352803359863,1.9419783411507828e-6,0.05893093035263551,-0.013458998081776974,0.21692024275258892,0.8140763725996583,0.3833307922565047,1,2.712561398062129,0.5748772038757419,2.6990278071823717,0.6117070923059474,13,15
mean_NN_umolL,Predictor_scaled,-0.04775673427067917,0.05293001851140312,-0.9022618093434177,0.3833307922565048,0.05893093035263551,-0.013458998081776974,0.21692024275258892,0.8140763725996583,0.3833307922565047,1,2.712561398062129,0.5748772038757419,2.6990278071823717,0.6117070923059474,13,15
range_NN_umolL,(Intercept),0.4538483931424542,0.05880931465301622,7.7172875728994255,3.3082655550300212e-6,0.014963155360043735,-0.0608089096122606,0.22192977335356465,0.19747588198253485,0.6640738720463426,1,2.3700925802338526,1.2598148395322948,3.3839654428389245,0.6402867159099395,13,15
range_NN_umolL,Predictor_scaled,-0.029064671117537834,0.06540461325206717,-0.4443825851476802,0.6640738720463423,0.014963155360043735,-0.0608089096122606,0.22192977335356465,0.19747588198253485,0.6640738720463426,1,2.3700925802338526,1.2598148395322948,3.3839654428389245,0.6402867159099395,13,15
min_Phosphate_umolL,(Intercept),0.45895004518511284,0.05777020866030509,7.944406915401456,2.4133761998785335e-6,0.0031759665346312743,-0.07350280527039699,0.22325365729077606,0.0414191106595555,0.8418821795824133,1,2.2808784890073994,1.4382430219852012,3.562393625291831,0.6479485414181948,13,15
min_Phosphate_umolL,Predictor_scaled,-0.011512432080721394,0.056567462318816944,-0.20351685595929286,0.8418821795824132,0.0031759665346312743,-0.07350280527039699,0.22325365729077606,0.0414191106595555,0.8418821795824133,1,2.2808784890073994,1.4382430219852012,3.562393625291831,0.6479485414181948,13,15
max_Phosphate_umolL,(Intercept),0.46543250134211334,0.060053227586968565,7.750332830455749,3.1586619873764953e-6,0.008262485491560872,-0.06802501562447283,0.22268332778784394,0.10830719804275118,0.7473213974939188,1,2.319246902010546,1.361506195978908,3.485656799285538,0.6446422381706887,13,15
max_Phosphate_umolL,Predictor_scaled,0.026568232822215137,0.08072982445419118,0.32910058955090193,0.7473213974939186,0.008262485491560872,-0.06802501562447283,0.22268332778784394,0.10830719804275118,0.7473213974939188,1,2.319246902010546,1.361506195978908,3.485656799285538,0.6446422381706887,13,15
mean_Phosphate_umolL,(Intercept),0.45969961153738753,0.05858692755933414,7.84645364909817,2.7629366870710487e-6,5.935776933813075e-7,-0.07692243768556106,0.22360896070452813,7.716514594307931e-6,0.9978257653482164,1,2.257025286189519,1.4859494276209624,3.610100030927592,0.6500125749956697,13,15
mean_Phosphate_umolL,Predictor_scaled,-2.0039601502867536e-4,0.0721403907197155,-0.0027778615146023663,0.9978257653482163,5.935776933813075e-7,-0.07692243768556106,0.22360896070452813,7.716514594307931e-6,0.9978257653482164,1,2.257025286189519,1.4859494276209624,3.610100030927592,0.6500125749956697,13,15
range_Phosphate_umolL,(Intercept),0.4633604580016448,0.05844173817080842,7.928587898042581,2.466486026192124e-6,0.008985458906820634,-0.06724642886957777,0.22260214527966793,0.11787008257196216,0.7368448110613177,1,2.3247163714174137,1.3505672571651726,3.4747178604718023,0.644172296080435,13,15
range_Phosphate_umolL,Predictor_scaled,0.022575462795465132,0.06575592148102789,0.3433221265400208,0.7368448110613177,0.008985458906820634,-0.06724642886957777,0.22260214527966793,0.11787008257196216,0.7368448110613177,1,2.3247163714174137,1.3505672571651726,3.4747178604718023,0.644172296080435,13,15
min_Salinity,(Intercept),0.4475555937791001,0.05794145073415828,7.7242731776346805,3.2760242893094834e-6,0.053427102717633415,-0.01938619707331779,0.2175536453034881,0.7337547243570047,0.40718205190111534,1,2.6688255361117394,0.6623489277765211,2.786499531083151,0.6152846516028669,13,15
min_Salinity,Predictor_scaled,0.054852126372035105,0.06403508828746766,0.856594842593045,0.4071820519011158,0.053427102717633415,-0.01938619707331779,0.2175536453034881,0.7337547243570047,0.40718205190111534,1,2.6688255361117394,0.6623489277765211,2.786499531083151,0.6152846516028669,13,15
max_Salinity,(Intercept),0.46123050416707795,0.05837573204701108,7.901065870928013,2.5618689226830894e-6,0.0021302136823402188,-0.07462900064978739,0.22337073259253026,0.027751895337581833,0.8702566336752593,1,2.2730144779667345,1.453971044066531,3.5781216473731607,0.6486282943260075,13,15
max_Salinity,Predictor_scaled,-0.009503471578882263,0.05704741313984883,-0.16658900125032813,0.8702566336752593,0.0021302136823402188,-0.07462900064978739,0.22337073259253026,0.027751895337581833,0.8702566336752593,1,2.2730144779667345,1.453971044066531,3.5781216473731607,0.6486282943260075,13,15
mean_Salinity,(Intercept),0.4571982164227145,0.06030311348420426,7.581668507754125,4.005773104565729e-6,0.0015929249373684707,-0.07520761929821851,0.22343085989147077,0.02074106314249734,0.8876951959906164,1,2.2689772967895685,1.462045406420863,3.5861960097274928,0.6489775389739465,13,15
mean_Salinity,Predictor_scaled,0.009825672505789399,0.06822550798809489,0.14401757928286799,0.8876951959906169,0.0015929249373684707,-0.07520761929821851,0.22343085989147077,0.02074106314249734,0.8876951959906164,1,2.2689772967895685,1.462045406420863,3.5861960097274928,0.6489775389739465,13,15
range_Salinity,(Intercept),0.4507392743166802,0.056184345230328545,8.022506491245345,2.1684030286209364e-6,0.07575788163696041,0.004662334070572816,0.21497215488378246,1.0655784255155945,0.3207691215591243,1,2.8478799003902546,0.30424019921949075,2.4283908025261205,0.6007693558799004,13,15
range_Salinity,Predictor_scaled,-0.06752631938019747,0.06541545538972637,-1.0322685820635993,0.3207691215591243,0.07575788163696041,0.004662334070572816,0.21497215488378246,1.0655784255155945,0.3207691215591243,1,2.8478799003902546,0.30424019921949075,2.4283908025261205,0.6007693558799004,13,15
min_pH,(Intercept),0.48931597634289753,0.05724871136740799,8.547196341286869,1.0758776099818303e-6,0.14044434172983533,0.07432467570905343,0.20731290331087462,2.1240933323179925,0.16872838785705893,1,3.3920685820146383,-0.7841371640292767,1.340013439277353,0.5587223184293927,13,15
min_pH,Predictor_scaled,-0.1246369530182839,0.08551849030790626,-1.4574269560832167,0.16872838785705901,0.14044434172983533,0.07432467570905343,0.20731290331087462,2.1240933323179925,0.16872838785705893,1,3.3920685820146383,-0.7841371640292767,1.340013439277353,0.5587223184293927,13,15
max_pH,(Intercept),0.45141648010470964,0.05097438281376105,8.855751755818124,7.227200361707686e-7,0.22595915157394666,0.16641754784886564,0.19673030811199074,3.7949792655444496,0.0733280085774859,1,4.178000567161089,-2.3560011343221774,-0.23185053101554765,0.5031365836879046,13,15
max_pH,Predictor_scaled,0.09513620462740231,0.048836116146613234,1.9480706520925901,0.0733280085774859,0.22595915157394666,0.16641754784886564,0.19673030811199074,3.7949792655444496,0.0733280085774859,1,4.178000567161089,-2.3560011343221774,-0.23185053101554765,0.5031365836879046,13,15
mean_pH,(Intercept),0.4554420239559563,0.06037810370836238,7.543165418970876,4.231107068429687e-6,0.004308031815875912,-0.07228365804444126,0.2231268497984742,0.05624672629279509,0.816226077337832,1,2.289400870273996,1.4211982594520078,3.5453488627586376,0.6472126843128813,13,15
mean_pH,Predictor_scaled,0.01693803793275354,0.07141911691514839,0.23716392283143575,0.8162260773378319,0.004308031815875912,-0.07228365804444126,0.2231268497984742,0.05624672629279509,0.816226077337832,1,2.289400870273996,1.4211982594520078,3.5453488627586376,0.6472126843128813,13,15
range_pH,(Intercept),0.4952371091136366,0.04369430106733304,11.334135047737114,4.1317065173967216e-8,0.4612422894644405,0.4197993886540129,0.16412928642117164,11.129585054248544,0.005362102560123219,1,6.895690777612822,-7.7913815552256445,-5.667230951919015,0.3501994945945989,13,15
range_pH,Predictor_scaled,0.1852153548257251,0.055518471587417566,3.3361032739183223,0.005362102560123219,0.4612422894644405,0.4197993886540129,0.16412928642117164,11.129585054248544,0.005362102560123219,1,6.895690777612822,-7.7913815552256445,-5.667230951919015,0.3501994945945989,13,15
